date;cpi_yoy;t10y2y;hy_oas;cpi_yoy_z;t10y2y_z;hy_oas_z
2021-01-31;1,37384371;1,00000000;3,84000000;-0,65781323;1,16361158;-0,57427030
2021-02-28;1,66981678;1,30000000;3,57000000;-0,20869573;1,94967055;-0,78277997
2021-03-31;2,66781878;1,58000000;3,36000000;1,38016819;2,57591131;-0,94665584
2021-04-30;4,13307712;1,49000000;3,28000000;3,35818608;2,24470475;-0,98927689
2021-05-31;4,91825709;1,44000000;3,34000000;3,86550412;2,03554438;-0,90497392
2021-06-30;5,29563262;1,20000000;3,04000000;3,75162317;1,41028483;-1,15192486
2021-07-31;5,24516938;1,05000000;3,32000000;3,30244489;1,02470863;-0,85921319
2021-08-31;5,15201530;1,10000000;3,21000000;2,92307346;1,12212301;-0,93235303
2021-09-30;5,35121559;1,24000000;3,15000000;2,84305380;1,41978928;-0,95737385
2021-10-31;6,23504239;1,07000000;3,15000000;3,24195442;1,01054176;-0,92672973
2021-11-30;6,90197040;0,91000000;3,67000000;3,34748187;0,65657205;-0,42115601
2021-12-31;7,17434029;0,79000000;3,10000000;3,17099498;0,39446102;-0,93416622
2022-01-31;7,55880573;0,61000000;3,63000000;3,08425981;-0,01825156;-0,43154681
2022-02-28;7,93727877;0,39000000;3,77000000;3,00118227;-0,54128839;-0,30119310
2022-03-31;8,57220497;0,04000000;3,43000000;3,03029624;-1,37563362;-0,60959837
2022-04-30;8,23175077;0,19000000;3,97000000;2,63069463;-0,96549745;-0,10879597
2022-05-31;8,53817120;0,32000000;4,22000000;2,57089331;-0,61446285;0,11696957
2022-06-30;8,97936110;0,06000000;5,87000000;2,56659967;-1,22866544;1,58968803
2022-07-31;8,46257673;-0,22000000;4,83000000;2,20194839;-1,84473041;0,62028107
2022-08-31;8,22257918;-0,30000000;5,03000000;1,99124949;-1,93828377;0,78114365
2022-09-30;8,19210690;-0,39000000;5,43000000;1,88168266;-2,03921436;1,10710337
2022-10-31;7,75881396;-0,41000000;4,63000000;1,63935686;-1,97740547;0,37053569
2022-11-30;7,12285646;-0,70000000;4,55000000;1,34539937;-2,44552459;0,28472774
2022-12-31;6,40460040;-0,53000000;4,81000000;1,03967932;-1,97649322;0,50228492
2023-01-31;6,32717852;-0,69000000;4,30000000;0,97892506;-2,17028404;0,02580435
2023-02-28;5,95782074;-0,89000000;4,22000000;0,81532658;-2,39187508;-0,05870785
2023-03-31;4,91771936;-0,58000000;4,58000000;0,41250292;-1,73083395;0,25799741
2023-04-30;4,95007988;-0,60000000;4,53000000;0,40945384;-1,69216953;0,19676622
2023-05-31;4,13185123;-0,76000000;4,69000000;0,09607417;-1,88229305;0,32866954
2023-06-30;3,07061707;-1,06000000;4,05000000;-0,30198166;-2,25502513;-0,26803079
2023-07-31;3,28774927;-0,91000000;3,79000000;-0,22374811;-1,91116869;-0,51547400
2023-08-31;3,72250480;-0,76000000;3,85000000;-0,06804122;-1,60778123;-0,46700381
2023-09-30;3,68720664;-0,44000000;4,03000000;-0,08998719;-1,07910690;-0,31336076
2023-10-31;3,25126591;-0,19000000;4,42000000;-0,25901958;-0,67761606;0,04345778
2023-11-30;3,13334627;-0,36000000;3,84000000;-0,31055518;-0,91817105;-0,49443171
2023-12-31;3,31590994;-0,35000000;3,39000000;-0,25093136;-0,88263216;-0,88703628
2024-01-31;3,08834299;-0,28000000;3,59000000;-0,34966296;-0,76085893;-0,68411990
2024-02-29;3,15707414;-0,39000000;3,29000000;-0,33614224;-0,90555770;-0,94876806
