Date;SWDA.L;XLK;IAU;BIL
2014-06-03;0,250861;0,259743;0,246666;0,242730
2014-06-04;0,251148;0,260100;0,246139;0,242613
2014-06-05;0,250258;0,260893;0,247097;0,241752
2014-06-06;0,251337;0,261275;0,246358;0,241030
2014-06-09;0,251611;0,261695;0,245981;0,240713
2014-06-10;0,251182;0,261438;0,247028;0,240351
2014-06-11;0,250515;0,261290;0,247468;0,240727
2014-06-12;0,249747;0,259080;0,250350;0,240822
2014-06-13;0,247711;0,260576;0,250950;0,240762
2014-06-16;0,247491;0,260986;0,250330;0,241194
2014-06-17;0,247796;0,261441;0,249770;0,240993
2014-06-18;0,247816;0,262025;0,249834;0,240326
2014-06-19;0,246362;0,259219;0,256231;0,238187
2014-06-20;0,247431;0,258822;0,255400;0,238347
2014-06-23;0,246508;0,259285;0,256122;0,238085
2014-06-24;0,247700;0,257916;0,256311;0,238074
2014-06-25;0,246215;0,259112;0,256487;0,238186
2014-06-26;0,245760;0,259366;0,256204;0,238670
2014-06-27;0,245817;0,260353;0,255637;0,238193
2014-06-30;0,245023;0,259792;0,257619;0,237566
2014-07-01;0,245028;0,261637;0,256438;0,236897
2014-07-02;0,245010;0,261889;0,256221;0,236880
2014-07-03;0,246062;0,262775;0,254571;0,236592
2014-07-07;0,245042;0,263288;0,254807;0,236863
2014-07-08;0,244043;0,262021;0,256078;0,237858
2014-07-09;0,243976;0,262348;0,256739;0,236938
2014-07-10;0,242484;0,261826;0,258553;0,237138
2014-07-11;0,242211;0,262666;0,258448;0,236676
2014-07-14;0,245369;0,264952;0,252648;0,237031
2014-07-15;0,244638;0,265745;0,251452;0,238165
2014-07-16;0,244915;0,267015;0,250949;0,237122
2014-07-17;0,243975;0,263495;0,255472;0,237058
2014-07-18;0,244235;0,266113;0,253143;0,236509
2014-07-21;0,243974;0,265898;0,253459;0,236669
2014-07-22;0,245107;0,267376;0,251559;0,235957
2014-07-23;0,245489;0,267668;0,250993;0,235850
2014-07-24;0,247201;0,267706;0,249032;0,236062
