Date;static_return;spy_return;active_return
2014-06-30;0,00242168;-0,00051052;0,00293220
2014-07-01;0,00304435;0,00669337;-0,00364902
2014-07-02;0,00007072;0,00101458;-0,00094386
2014-07-03;0,00099743;0,00491846;-0,00392103
2014-07-07;-0,00092417;-0,00348121;0,00255704
2014-07-08;-0,00418405;-0,00643013;0,00224608
2014-07-09;0,00366450;0,00448405;-0,00081955
2014-07-10;-0,00084389;-0,00395688;0,00311299
2014-07-11;0,00195144;0,00137534;0,00057611
2014-07-14;-0,00149615;0,00503515;-0,00653129
2014-07-15;-0,00476486;-0,00187268;-0,00289219
2014-07-16;0,00440061;0,00370148;0,00069914
2014-07-17;0,00026938;-0,01136552;0,01163489
2014-07-18;0,00210301;0,01021873;-0,00811571
2014-07-21;-0,00046005;-0,00187135;0,00141131
2014-07-22;0,00279922;0,00435806;-0,00155885
2014-07-23;0,00067197;0,00221990;-0,00154794
2014-07-24;-0,00089568;0,00005054;-0,00094622
2014-07-25;0,00080497;-0,00468207;0,00548705
2014-07-28;-0,00007529;0,00040510;-0,00048039
2014-07-29;-0,00073620;-0,00429736;0,00356116
2014-07-30;-0,00087395;0,00015189;-0,00102583
2014-07-31;-0,01067605;-0,01974779;0,00907173
2014-08-01;-0,00082583;-0,00305560;0,00222976
2014-08-04;0,00105300;0,00722063;-0,00616763
2014-08-05;-0,00309922;-0,00969626;0,00659704
2014-08-06;0,00212904;0,00031266;0,00181638
2014-08-07;-0,00124018;-0,00541465;0,00417447
2014-08-08;0,00195613;0,01156877;-0,00961263
2014-08-11;0,00401039;0,00289794;0,00111245
2014-08-12;-0,00158842;-0,00139307;-0,00019535
2014-08-13;0,00679813;0,00676911;0,00002903
2014-08-14;0,00126802;0,00472162;-0,00345360
2014-08-15;-0,00238643;-0,00020429;-0,00218214
2014-08-18;0,00384539;0,00837960;-0,00453422
2014-08-19;0,00317600;0,00521893;-0,00204293
2014-08-20;-0,00114078;0,00267089;-0,00381167
2014-08-21;0,00053528;0,00291613;-0,00238085
2014-08-22;0,00026500;-0,00155392;0,00181892
2014-08-26;0,00283120;0,00064961;0,00218159
2014-08-27;-0,00056292;-0,00039963;-0,00016329
2014-08-28;0,00029146;-0,00054899;0,00084045
2014-08-29;0,00100739;0,00284801;-0,00184061
2014-09-02;-0,00245118;-0,00049855;-0,00195263
2014-09-03;0,00070511;-0,00054791;0,00125302
2014-09-04;-0,00013495;-0,00144676;0,00131181
2014-09-05;0,00240061;0,00449571;-0,00209510
2014-09-08;0,00054897;-0,00258595;0,00313492
2014-09-09;-0,00218388;-0,00633131;0,00414743
2014-09-10;-0,00091240;0,00376266;-0,00467506
2014-09-11;-0,00182299;0,00114990;-0,00297288
2014-09-12;-0,00401525;-0,00584128;0,00182603
2014-09-15;-0,00211574;-0,00075347;-0,00136227
2014-09-16;0,00332289;0,00753855;-0,00421565
2014-09-17;-0,00254237;0,00134693;-0,00388931
2014-09-18;0,00276749;0,00533001;-0,00256253
2014-09-19;-0,00137576;-0,00090127;-0,00047449
2014-09-22;-0,00481375;-0,00772292;0,00290917
2014-09-23;-0,00101312;-0,00572428;0,00471116
2014-09-24;0,00172052;0,00782784;-0,00610732
2014-09-25;-0,00693106;-0,01613546;0,00920440
2014-09-26;0,00264139;0,00794570;-0,00530431
2014-09-29;-0,00032086;-0,00181937;0,00149851
2014-09-30;0,00021948;-0,00263201;0,00285149
2014-10-01;-0,00538790;-0,01355226;0,00816437
2014-10-02;-0,00326677;0,00015426;-0,00342102
2014-10-03;0,00250663;0,01100927;-0,00850264
2014-10-06;0,00345116;-0,00116995;0,00462111
2014-10-07;-0,00675957;-0,01543677;0,00867720
2014-10-08;0,00596007;0,01748938;-0,01152930
2014-10-09;-0,00409346;-0,01983271;0,01573926
2014-10-10;-0,01004116;-0,01141461;0,00137345
2014-10-13;-0,00332821;-0,01642708;0,01309887
2014-10-14;0,00192877;0,00154735;0,00038141
2014-10-15;-0,00649240;-0,00676599;0,00027359
2014-10-16;-0,00107560;-0,00085815;-0,00021746
2014-10-17;0,00664330;0,01181029;-0,00516699
2014-10-20;0,00272480;0,00971010;-0,00698530
2014-10-21;0,00925080;0,01981118;-0,01056038
2014-10-22;0,00058595;-0,00711128;0,00769724
2014-10-23;0,00250185;0,01162512;-0,00912326
2014-10-24;0,00129864;0,00769481;-0,00639617
2014-10-27;-0,00116195;-0,00137408;0,00021213
2014-10-28;0,00557152;0,01147003;-0,00589851
2014-10-29;-0,00227590;-0,00151203;-0,00076387
2014-10-30;0,00008417;0,00641065;-0,00632647
2014-10-31;0,00343968;0,01143525;-0,00799557
2014-11-03;-0,00004545;0,00054538;-0,00059083
2014-11-04;-0,00222138;-0,00346888;0,00124750
2014-11-05;-0,00195989;0,00631627;-0,00827616
2014-11-06;0,00207925;0,00400302;-0,00192377
2014-11-07;0,00711585;0,00093509;0,00618076
2014-11-10;-0,00353787;0,00314732;-0,00668519
2014-11-11;0,00388740;0,00098074;0,00290666
2014-11-12;-0,00046400;-0,00107775;0,00061375
2014-11-13;0,00408329;0,00112782;0,00295547
2014-11-14;0,00895862;0,00024489;0,00871374
2014-11-17;-0,00201003;0,00063626;-0,00264629
2014-11-18;0,00527698;0,00577393;-0,00049695
2014-11-19;-0,00567648;-0,00160545;-0,00407104
2014-11-20;0,00367799;0,00175411;0,00192388
2014-11-21;0,00418654;0,00535098;-0,00116444
2014-11-24;0,00038955;0,00280644;-0,00241689
2014-11-25;0,00047548;-0,00072378;0,00119925
2014-11-26;0,00189019;0,00255882;-0,00066863
2014-11-28;-0,00262168;-0,00211878;-0,00050290
2014-12-01;0,00228041;-0,00695012;0,00923053
2014-12-02;-0,00032251;0,00646407;-0,00678658
2014-12-03;0,00255883;0,00386295;-0,00130412
2014-12-04;-0,00204638;-0,00110632;-0,00094006
2014-12-05;0,00055051;0,00163735;-0,00108683
2014-12-08;-0,00236728;-0,00668281;0,00431553
2014-12-09;0,00017321;-0,00067769;0,00085090
2014-12-10;-0,00526642;-0,01603124;0,01076482
2014-12-11;0,00135147;0,00506985;-0,00371838
2014-12-12;-0,00986638;-0,01616157;0,00629519
2014-12-15;-0,01021730;-0,00686903;-0,00334827
2014-12-16;-0,00027269;-0,00801962;0,00774692
2014-12-17;0,00280692;0,01960436;-0,01679743
2014-12-18;0,01453334;0,02472888;-0,01019554
2014-12-19;0,00341207;0,00425518;-0,00084311
2014-12-22;-0,00002969;0,00459996;-0,00462965
2014-12-23;0,00373347;0,00134956;0,00238391
2014-12-24;-0,00036347;0,00009612;-0,00045959
2014-12-29;0,00253686;0,00134319;0,00119367
2014-12-30;-0,00161286;-0,00536590;0,00375304
2014-12-31;-0,00644381;-0,00992318;0,00347937
2015-01-02;0,00083714;-0,00053475;0,00137190
2015-01-05;-0,00330020;-0,01805998;0,01475978
2015-01-06;-0,00222161;-0,00941874;0,00719713
2015-01-07;0,00338603;0,01246115;-0,00907512
2015-01-08;0,01042931;0,01774490;-0,00731559
2015-01-09;-0,00159959;-0,00801347;0,00641388
2015-01-12;-0,00110568;-0,00783356;0,00672788
2015-01-13;0,00121800;-0,00281290;0,00403091
2015-01-14;-0,00832378;-0,00603722;-0,00228657
2015-01-15;0,00442515;-0,00916063;0,01358578
2015-01-16;0,00726977;0,01311439;-0,00584462
2015-01-20;0,00644633;0,00213249;0,00431384
2015-01-21;0,00385042;0,00504835;-0,00119793
2015-01-22;0,00888998;0,01487067;-0,00598069
2015-01-23;-0,00025321;-0,00548287;0,00522966
2015-01-26;-0,00440442;0,00234198;-0,00674640
2015-01-27;-0,00900524;-0,01319101;0,00418576
2015-01-28;-0,00191645;-0,01282355;0,01090710
2015-01-29;-0,00407436;0,00924324;-0,01331759
2015-01-30;0,00265905;-0,01257485;0,01523390
2015-02-02;0,00189759;0,01238360;-0,01048601
2015-02-03;0,00193686;0,01446145;-0,01252459
2015-02-04;0,00178483;-0,00380747;0,00559230
2015-02-05;0,00289511;0,01009523;-0,00720012
2015-02-06;-0,00590957;-0,00276563;-0,00314394
2015-02-09;-0,00083557;-0,00447598;0,00364041
2015-02-10;0,00283328;0,01065336;-0,00782008
2015-02-11;-0,00116694;0,00058024;-0,00174718
2015-02-12;0,00401340;0,00961679;-0,00560339
2015-02-13;0,00534876;0,00411651;0,00123225
2015-02-17;-0,00264849;0,00157298;-0,00422147
2015-02-18;0,00002211;0,00009531;-0,00007320
2015-02-19;0,00098627;-0,00071402;0,00170029
2015-02-20;0,00053124;0,00600072;-0,00546948
2015-02-23;0,00063055;-0,00014211;0,00077265
2015-02-24;0,00195472;0,00284085;-0,00088613
2015-02-25;-0,00171833;-0,00085008;-0,00086825
2015-02-26;0,00344754;-0,00118110;0,00462864
2015-02-27;-0,00131344;-0,00340600;0,00209256
2015-03-02;0,00255886;0,00631334;-0,00375448
2015-03-03;-0,00341900;-0,00410395;0,00068495
2015-03-04;-0,00120861;-0,00421562;0,00300701
2015-03-05;0,00130322;0,00109380;0,00020942
2015-03-06;-0,00936139;-0,01406413;0,00470275
2015-03-09;-0,00036912;0,00414441;-0,00451353
2015-03-10;-0,01068712;-0,01622197;0,00553485
2015-03-11;-0,00033684;-0,00234159;0,00200475
2015-03-12;0,00439651;0,01271400;-0,00831749
2015-03-13;-0,00016591;-0,00613216;0,00596624
2015-03-16;0,00584441;0,01336042;-0,00751601
2015-03-17;-0,00070789;-0,00297214;0,00226425
2015-03-18;0,00924972;0,01202092;-0,00277120
2015-03-19;0,00079722;-0,00456115;0,00535837
2015-03-20;0,00477114;0,00882666;-0,00405551
2015-03-23;0,00152569;-0,00194815;0,00347384
2015-03-24;0,00113528;-0,00561933;0,00675461
2015-03-25;-0,01050804;-0,01465366;0,00414563
2015-03-26;0,00043770;-0,00238125;0,00281895
2015-03-27;-0,00162962;0,00228919;-0,00391881
2015-03-30;0,00455963;0,01220015;-0,00764052
2015-03-31;-0,00541781;-0,00873977;0,00332196
2015-04-01;0,00239432;-0,00353596;0,00593028
2015-04-02;0,00094677;0,00359732;-0,00265055
2015-04-07;0,00666103;-0,00264707;0,00930810
2015-04-08;-0,00196485;0,00337737;-0,00534223
2015-04-09;0,00234853;0,00442340;-0,00207486
2015-04-10;0,00739591;0,00545700;0,00193891
2015-04-13;-0,00244015;-0,00452265;0,00208250
2015-04-14;-0,00507221;0,00191357;-0,00698579
2015-04-15;0,00547685;0,00448641;0,00099044
2015-04-16;-0,00363437;-0,00028491;-0,00334946
2015-04-17;-0,00670308;-0,01150371;0,00480063
2015-04-20;0,00582769;0,00913717;-0,00330948
2015-04-21;0,00144419;-0,00119169;0,00263588
2015-04-22;-0,00190483;0,00491426;-0,00681908
2015-04-23;0,00330783;0,00251645;0,00079139
2015-04-24;-0,00110267;0,00231992;-0,00342259
2015-04-27;0,00564054;-0,00415788;0,00979841
2015-04-28;-0,00055932;0,00317931;-0,00373863
2015-04-29;-0,00624428;-0,00411452;-0,00212976
2015-04-30;-0,00730850;-0,01002070;0,00271221
2015-05-01;0,00592352;0,01084132;-0,00491780
2015-05-05;-0,00302960;-0,01145217;0,00842256
2015-05-06;-0,00409001;-0,00411692;0,00002691
2015-05-07;0,00069829;0,00399002;-0,00329173
2015-05-08;0,00565785;0,01316583;-0,00750798
2015-05-11;-0,00588753;-0,00477253;-0,00111499
2015-05-12;-0,00228553;-0,00299163;0,00070609
2015-05-13;0,00475264;0,00019058;0,00456206
2015-05-14;0,00746240;0,01042778;-0,00296538
2015-05-15;-0,00039135;0,00108381;-0,00147516
2015-05-18;0,00360989;0,00310670;0,00050318
2015-05-19;-0,00080913;-0,00032872;-0,00048041
2015-05-20;-0,00037446;-0,00070410;0,00032964
2015-05-21;-0,00042138;0,00291264;-0,00333402
2015-05-22;0,00175241;-0,00238873;0,00414114
2015-05-26;-0,00926906;-0,01075165;0,00148259
2015-05-27;0,00833832;0,00949213;-0,00115381
2015-05-28;-0,00020865;-0,00112860;0,00091995
2015-05-29;-0,00355805;-0,00621265;0,00265460
2015-06-01;0,00216708;0,00203671;0,00013037
2015-06-02;-0,00163212;-0,00099286;-0,00063926
2015-06-03;0,00077979;0,00264985;-0,00187005
2015-06-04;-0,00661199;-0,00844678;0,00183479
2015-06-05;-0,00264487;-0,00171313;-0,00093174
2015-06-08;-0,00417568;-0,00614968;0,00197399
2015-06-09;-0,00264025;-0,00014388;-0,00249638
2015-06-10;0,00752588;0,01199319;-0,00446731
2015-06-11;0,00056636;0,00322359;-0,00265722
2015-06-12;-0,00581483;-0,00765497;0,00184014
2015-06-15;-0,00278258;-0,00428536;0,00150278
2015-06-16;0,00079168;0,00545178;-0,00466011
2015-06-17;-0,00044434;0,00161698;-0,00206133
2015-06-18;0,00571065;0,01039929;-0,00468864
2015-06-19;-0,00284836;-0,00443900;0,00159064
2015-06-22;0,00406815;0,00512276;-0,00105461
2015-06-23;-0,00085947;0,00070826;-0,00156773
2015-06-24;-0,00204669;-0,00726294;0,00521624
2015-06-25;-0,00196328;-0,00304060;0,00107733
2015-06-26;-0,00336381;-0,00019038;-0,00317344
2015-06-29;-0,01036956;-0,02097037;0,01060082
2015-06-30;-0,00188335;0,00209309;-0,00397644
2015-07-01;0,00449304;0,00801568;-0,00352263
2015-07-02;-0,00013290;-0,00091588;0,00078298
2015-07-06;-0,00246325;-0,00284577;0,00038252
2015-07-07;-0,00331605;0,00628882;-0,00960487
2015-07-08;-0,00195219;-0,01677735;0,01482516
2015-07-09;0,00107951;0,00180914;-0,00072963
2015-07-10;0,00602720;0,01259120;-0,00656400
2015-07-13;0,00512388;0,01103766;-0,00591377
2015-07-14;0,00122030;0,00433781;-0,00311751
2015-07-15;-0,00143913;-0,00033219;-0,00110694
2015-07-16;0,00430107;0,00802421;-0,00372315
2015-07-17;0,00155183;0,00084802;0,00070381
2015-07-20;-0,00286455;0,00051741;-0,00338196
2015-07-21;-0,00285713;-0,00395124;0,00109410
2015-07-22;-0,00906890;-0,00179447;-0,00727442
2015-07-23;0,00042205;-0,00562992;0,00605197
2015-07-24;-0,00160340;-0,01037201;0,00876862
2015-07-27;-0,00714335;-0,00581713;-0,00132622
2015-07-28;0,00338361;0,01228282;-0,00889921
2015-07-29;0,00437044;0,00687881;-0,00250837
2015-07-30;-0,00088123;0,00023740;-0,00111863
2015-07-31;0,00199910;-0,00151773;0,00351683
2015-08-03;-0,00390791;-0,00337325;-0,00053466
2015-08-04;-0,00184655;-0,00195414;0,00010758
2015-08-05;0,00382411;0,00329550;0,00052862
2015-08-06;-0,00304203;-0,00818781;0,00514578
2015-08-07;0,00025267;-0,00192003;0,00217271
2015-08-10;0,00857357;0,01259953;-0,00402596
2015-08-11;-0,00670700;-0,00902343;0,00231644
2015-08-12;0,00000775;0,00119842;-0,00119067
2015-08-13;0,00066312;-0,00124447;0,00190758
2015-08-14;0,00097853;0,00364227;-0,00266374
2015-08-17;0,00314689;0,00558673;-0,00243984
2015-08-18;-0,00246200;-0,00289678;0,00043478
2015-08-19;-0,00243386;-0,00790543;0,00547158
2015-08-20;-0,00625111;-0,02088136;0,01463024
2015-08-21;-0,01606030;-0,03010230;0,01404200
2015-08-24;-0,02475360;-0,04210705;0,01735345
2015-08-25;0,00235606;-0,01176776;0,01412382
2015-08-26;0,00844011;0,03839400;-0,02995389
2015-08-27;0,01688161;0,02473487;-0,00785326
2015-08-28;0,00431800;0,00005033;0,00426767
2015-09-01;-0,01753252;-0,02984752;0,01231500
2015-09-02;0,00582701;0,01898092;-0,01315391
2015-09-03;0,00435842;0,00071714;0,00364128
2015-09-04;-0,01037765;-0,01513720;0,00475955
2015-09-08;0,00893588;0,02513118;-0,01619530
2015-09-09;-0,00403535;-0,01337202;0,00933668
2015-09-10;-0,00095699;0,00544175;-0,00639874
2015-09-11;0,00138022;0,00454482;-0,00316460
2015-09-14;0,00001076;-0,00371113;0,00372189
2015-09-15;0,00509404;0,01249971;-0,00740567
2015-09-16;0,00500493;0,00866661;-0,00366168
2015-09-17;0,00102042;-0,00224808;0,00326850
2015-09-18;-0,00710672;-0,01634133;0,00923461
2015-09-21;0,00294602;0,00516765;-0,00222163
2015-09-22;-0,01056194;-0,01298014;0,00241820
2015-09-23;0,00405368;-0,00159818;0,00565185
2015-09-24;0,00035133;-0,00361602;0,00396735
2015-09-25;0,00588258;-0,00025900;0,00614158
2015-09-28;-0,01608583;-0,02509712;0,00901128
2015-09-29;-0,00288874;0,00058472;-0,00347346
2015-09-30;0,00715517;0,01865845;-0,01150328
2015-10-01;-0,00036566;0,00260892;-0,00297458
2015-10-02;0,00852535;0,01493797;-0,00641262
2015-10-05;0,01364599;0,01779482;-0,00414883
2015-10-06;0,00357972;-0,00342610;0,00700582
2015-10-07;-0,00092689;0,00819055;-0,00911744
2015-10-08;0,00235000;0,00902674;-0,00667674
2015-10-09;0,00787167;0,00059604;0,00727563
2015-10-12;-0,00005360;0,00094422;-0,00099782
2015-10-13;0,00135326;-0,00630263;0,00765589
2015-10-14;-0,00211737;-0,00479375;0,00267638
2015-10-15;0,00415255;0,01535453;-0,01120197
2015-10-16;0,00147465;0,00454623;-0,00307158
2015-10-19;-0,00092115;0,00049237;-0,00141352
2015-10-20;0,00140571;-0,00127835;0,00268406
2015-10-21;-0,00441303;-0,00620363;0,00179060
2015-10-22;0,00894742;0,01689372;-0,00794630
2015-10-23;0,01152691;0,01096148;0,00056543
2015-10-26;-0,00161585;-0,00245770;0,00084185
2015-10-27;-0,00205476;-0,00193232;-0,00012244
2015-10-28;0,00512166;0,01137456;-0,00625290
2015-10-29;-0,00339219;-0,00057423;-0,00281796
2015-10-30;-0,00526298;-0,00430960;-0,00095338
2015-11-02;0,00227938;0,01183068;-0,00955131
2015-11-03;-0,00024520;0,00289951;-0,00314471
2015-11-04;-0,00155224;-0,00303342;0,00148118
2015-11-05;0,00024246;-0,00099829;0,00124074
2015-11-06;-0,00039670;-0,00052364;0,00012694
2015-11-09;-0,00535546;-0,00933125;0,00397578
2015-11-10;-0,00244515;0,00230703;-0,00475218
2015-11-11;-0,00071925;-0,00393194;0,00321269
2015-11-12;-0,00521089;-0,01395950;0,00874861
2015-11-13;-0,00966587;-0,01122857;0,00156270
2015-11-16;0,00436791;0,01520685;-0,01083894
2015-11-17;0,00199458;-0,00072927;0,00272385
2015-11-18;0,00453579;0,01586593;-0,01133014
2015-11-19;0,00499085;-0,00086198;0,00585283
2015-11-20;0,00377381;0,00364377;0,00013004
2015-11-23;-0,00286731;-0,00114648;-0,00172083
2015-11-24;0,00099169;0,00133929;-0,00034761
2015-11-25;-0,00138286;-0,00014315;-0,00123971
2015-11-27;-0,00034581;0,00114625;-0,00149206
2015-11-30;0,00097202;-0,00415141;0,00512343
2015-12-01;0,00429012;0,00953538;-0,00524527
2015-12-02;-0,00270682;-0,01020444;0,00749762
2015-12-03;-0,00632674;-0,01400317;0,00767643
2015-12-04;0,01064009;0,01950327;-0,00886317
2015-12-07;-0,00462750;-0,00605882;0,00143132
2015-12-08;-0,00069543;-0,00671944;0,00602401
2015-12-09;-0,00746098;-0,00777954;0,00031857
2015-12-10;-0,00031173;0,00258103;-0,00289276
2015-12-11;-0,01016984;-0,01938117;0,00921133
2015-12-14;-0,00224727;0,00505221;-0,00729949
