line,label,start,end,n_days,total_return,cagr,ann_vol,sharpe,sortino,calmar,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovered,skew,excess_kurtosis,var_95_daily,cvar_95_daily,best_day,worst_day,positive_day_rate,best_month,worst_month,crisis_2022_return,crisis_2022_max_dd,ssr,mean_rolling_sharpe,nw_sigma_hac,nw_bandwidth_L,ssr_verdict
factor_pit_ext2026,"PIT recall-guarded factor, extended to 2026-06",2019-01-03,2026-06-30,1845,1.65539209,0.21299988,0.11629543,1.71906837,2.49285142,1.76317584,-0.12080467,2022-03-29,2022-09-27,2023-02-01,-0.52685593,19.71416106,-0.00832665,-0.01366505,0.06249804,-0.06469320,0.57073171,0.07884210,-0.04929736,-0.03448381,-0.12080467,0.13396503,1.49310417,11.14547712,137,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
factor_nonpit_diag_ext2026,"Non-PIT DIAGNOSTIC, extended to 2026-06",2019-01-03,2026-06-30,1845,1.63185742,0.21086659,0.11735443,1.68949836,2.48364412,1.88424548,-0.11191036,2022-03-30,2022-10-14,2023-02-01,-0.09352583,16.67723295,-0.00864637,-0.01391343,0.06657332,-0.06201071,0.57127371,0.06047358,-0.05712589,-0.02341931,-0.11191036,0.14191487,1.46225098,10.30371909,137,"SSR=0.14: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
baseline_ext2026,"Baseline HRP+momentum, extended to 2026-06",2019-01-03,2026-06-30,1845,0.19750097,0.03627992,0.05612421,0.66303985,0.93570295,0.22569639,-0.16074656,2021-12-29,2022-05-18,2025-10-08,0.19868787,28.95937839,-0.00154900,-0.00767675,0.02906893,-0.02356955,0.72899729,0.04585145,-0.06055273,-0.12282088,-0.15544661,0.09521890,8.49563938,89.22219823,137,"SSR=0.10: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.077, mirror p=0.924) — luck-compatible"
track_b_ext2026,"Track B (MC/Nash), extended to 2026-06",2019-01-03,2026-06-30,1845,1.69699845,0.21673445,0.16169479,1.29444084,1.85507049,0.87971076,-0.24637012,2020-02-19,2020-03-23,2020-06-23,-0.14865729,23.47529928,-0.01112293,-0.02002528,0.09239629,-0.07396048,0.57289973,0.09335487,-0.07144335,-0.13462817,-0.18122282,0.10171392,1.26552664,12.44201969,137,"SSR=0.10: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
