year,1,2,3,4,5,6,7,8,9,10,11,12
2019,0.028364,0.007397,0.000507,0.006942,0.000032,0.061978,0.011888,0.040175,-0.015328,0.008859,-0.009839,0.025268
2020,0.031281,-0.018124,-0.016778,0.062148,0.023977,0.018397,0.039740,0.012557,-0.016634,-0.013990,0.013080,0.030609
2021,-0.015009,-0.016289,0.004554,0.027579,0.025742,-0.010636,0.012586,0.011231,-0.030138,0.018573,0.004085,0.015776
2022,-0.019608,0.020023,0.019864,-0.022883,-0.016208,-0.033717,0.008078,-0.010236,-0.024161,-0.007340,0.047142,0.003319
2023,0.048828,-0.030812,0.035722,0.003577,0.005839,-0.001424,0.016755,-0.005695,-0.017552,0.015172,0.028366,0.016101
2024,0.002181,0.015678,0.043396,0.001439,0.015832,0.022829,0.014963,0.005334,0.017772,0.020107,0.005498,-0.006138
