Line,Window,Start,End,Days,Total Return,CAGR,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Calmar,SSR,SSR verdict
Buy & hold,own span,2016-02-01,2026-01-30,2468,3.20069867971619,0.15440383798947255,0.12932939041097516,1.1981415356547973,1.72822548067639,-0.19630627526611266,0.7865456047197819,0.14724753339466584,"SSR=0.15: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
AI macro factor,own span,2019-01-02,2026-01-30,1745,1.4879012989316025,0.13744293054636714,0.09208221190192271,1.475880553881487,2.158739539019569,-0.12080467300077136,1.1377285922167062,0.1299434902867451,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
SJM de-risk,own span,2019-01-02,2026-01-30,1745,1.3720615444966406,0.1298057310740679,0.08133878579697361,1.574689339885221,2.286888528695874,-0.08383693786994628,1.5483119299446697,0.13392673386603582,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
Buy & hold,common,2019-01-02,2026-01-30,1745,2.243346860749827,0.1808678298965447,0.14645350868245358,1.2338187391843751,1.781863103506506,-0.19630627526611266,0.921355314043631,0.1431786698180442,"SSR=0.14: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
AI macro factor,common,2019-01-02,2026-01-30,1745,1.4879012989316025,0.13744293054636714,0.09208221190192271,1.475880553881487,2.158739539019569,-0.12080467300077136,1.1377285922167062,0.1299434902867451,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
SJM de-risk,common,2019-01-02,2026-01-30,1745,1.3720615444966406,0.1298057310740679,0.08133878579697361,1.574689339885221,2.286888528695874,-0.08383693786994628,1.5483119299446697,0.13392673386603582,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
