year,1,2,3,4,5,6,7,8,9,10,11,12
2019,0.028364,0.007397,0.000507,0.006942,0.000031,0.061978,0.011348,0.029027,-0.009076,0.012644,-0.002917,0.022806
2020,0.025359,-0.015623,-0.024235,0.050815,0.044894,0.029557,0.037784,0.021201,-0.020604,-0.015985,0.028250,0.044429
2021,-0.007289,-0.016400,0.004312,0.021364,0.020695,-0.011132,0.017948,0.009897,-0.027965,0.017928,0.004070,0.015778
2022,-0.019608,0.024419,0.020896,-0.028099,-0.019471,-0.030286,0.021685,-0.014694,-0.026685,0.014065,0.035779,-0.013306
2023,0.046894,-0.024544,0.042717,0.004293,0.006387,-0.001423,0.019274,-0.006292,-0.018498,0.036328,0.028972,0.017574
2024,0.006034,0.014482,0.047179,0.003741,0.017145,0.021562,0.011470,0.008450,0.019256,0.020697,0.008780,-0.007913
