schema;portfolio_id;return_basis;window_label;start;end;n_obs;periods_per_year;cash_benchmark_id;currency_basis;source;row_kind;ann_vol;cagr;calmar;downside_rms;maxdd;raw_market_model_beta;raw_market_model_end;raw_market_model_hac_maxlags;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_native_period;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_kind;raw_market_model_n_obs;raw_market_model_periods_per_year;raw_market_model_r2;raw_market_model_start;sharpe;sortino;ssr_L_hac;ssr_alpha;ssr_block_len;ssr_mean_rolling_sr;ssr_n_boot;ssr_n_obs;ssr_n_rolling;ssr_p_value;ssr_p_value_lower;ssr_periods_per_year;ssr_seed;ssr_sigma_hac;ssr_sr_full;ssr_sr_star;ssr_ssr;ssr_window;total_return
portfolio_metrics.reader.v2;factor_pit_ext2026;adjusted_total_return_equity;2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;scripts/extend_stream_2026.py:factor_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;0,08645791;0,11184467;0,98064137;0,00371492;-0,11405257;0,21350985;2026-06-30;5;0,07812667;0,00031003;0,00009049;3,42593002;raw_market_model;2588;252;0,19659344;2016-01-04;1,05050546;1,52294936;155;0,05000000;1;0,96609121;1000;2588;2337;0,00099900;1,00000000;252;0;8,00043306;1,05050546;0,00000000;0,12075486;252;2,04313638
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;full 2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;0,07433024;0,09623242;1,09018434;0,00321606;-0,08827169;0,15553255;2026-06-30;5;0,07192455;0,00028541;0,00007971;3,58082574;raw_market_model;2588;252;0,14114133;2016-01-04;1,01446607;1,45767529;155;0,05000000;1;0,86850431;1000;2588;2337;0,00199800;0,99900100;252;0;8,53419157;1,01446607;0,00000000;0,10176761;252;1,62334146
portfolio_metrics.reader.v2;static_bh_25pct_2015-12-31;adjusted_total_return_local_quotes_static_25pct;Factor performance window (buy 2015-12-31);2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;scripts/build_tear_sheet.py:static_bh_25pct|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/basket_adjusted_close_local.parquet#90993b1a5f1f05c1126d4ba52a5849baa6cd610047f2e3f90119d054dffe76cf|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;0,13068049;0,15876852;0,81894318;0,00570339;-0,19387001;0,60266958;2026-06-30;5;0,06323490;0,00025093;0,00007950;3,15651757;raw_market_model;2588;252;0,68561397;2016-01-04;1,05498274;1,51139584;155;0,05000000;1;1,20950177;1000;2588;2337;0,00099900;1,00000000;252;0;8,75114423;1,05498274;0,00000000;0,13821070;252;3,69643283
