segment,n_pairs,mean_delta,median_delta,paired_d
in_training,101.00000000,0.39777868,0.41703510,1.38322492
post_cutoff,25.00000000,0.38338925,0.42200455,1.23724011
full_stream,126.00000000,0.39492364,0.41760020,1.35159873
