date,p_memorized,parse_ok,steered,conviction
2016-01-04 00:00:00,0.65134069,True,True,0.71414284
2016-02-01 00:00:00,0.01073616,True,True,0.70710678
2016-03-01 00:00:00,0.51796195,True,True,0.61644140
2016-04-01 00:00:00,0.29993862,True,True,0.72387844
2016-05-02 00:00:00,0.68442743,True,True,0.63403470
2016-06-01 00:00:00,0.57354383,True,True,0.60166436
2016-07-01 00:00:00,0.39315309,True,True,0.66030296
2016-08-01 00:00:00,0.01331009,True,True,0.59868189
2016-09-01 00:00:00,0.64523067,True,True,0.60113226
2016-10-03 00:00:00,0.13505021,True,True,0.52535702
2016-11-01 00:00:00,0.30464695,True,True,0.63560994
2016-12-01 00:00:00,0.53068674,True,True,0.45166359
2017-01-03 00:00:00,0.68677964,True,True,0.73075304
2017-02-01 00:00:00,0.20799492,True,True,0.59833101
2017-03-01 00:00:00,0.52292669,True,True,0.63403470
2017-04-03 00:00:00,0.29872171,True,True,0.71414284
2017-05-01 00:00:00,0.20689644,True,True,0.59665736
2017-06-01 00:00:00,0.15590619,True,True,0.48579831
2017-07-03 00:00:00,0.30413853,True,True,0.61644140
2017-08-01 00:00:00,0.38610372,True,True,0.45166359
2017-09-01 00:00:00,0.00000873,True,True,0.61644140
2017-10-02 00:00:00,0.01258825,True,True,0.64807407
2017-11-01 00:00:00,0.00281149,True,True,0.69137544
2017-12-01 00:00:00,0.65473642,True,True,0.63087241
2018-01-02 00:00:00,0.15845944,True,True,0.78358152
2018-02-01 00:00:00,0.46993283,True,True,0.76681158
2018-03-01 00:00:00,0.32362337,True,True,0.70142712
2018-04-02 00:00:00,0.28489673,True,True,0.68556546
2018-05-01 00:00:00,0.59644171,True,True,0.58991525
2018-06-01 00:00:00,0.46972034,True,True,0.60373835
2018-07-02 00:00:00,0.06871229,True,True,0.68992753
2018-08-01 00:00:00,0.00000000,True,True,0.74027022
2018-09-03 00:00:00,0.45112116,True,True,0.60497934
2018-10-01 00:00:00,0.11800290,True,True,0.79120162
2018-11-01 00:00:00,0.00138831,True,True,0.67082039
2018-12-03 00:00:00,0.49858477,True,True,0.65006154
2019-01-02 00:00:00,0.29204048,True,True,0.82036577
2019-02-01 00:00:00,0.60414109,True,True,0.55196014
2019-03-01 00:00:00,0.47493392,True,True,0.57445626
2019-04-01 00:00:00,0.61393731,True,True,0.54954527
2019-05-01 00:00:00,0.03837118,True,True,0.54954527
2019-06-03 00:00:00,0.06919663,True,True,0.47749346
2019-07-01 00:00:00,0.01742180,True,True,0.50990195
2019-08-01 00:00:00,0.51660448,True,True,0.42661458
2019-09-02 00:00:00,0.02155456,True,True,0.52107581
2019-10-01 00:00:00,0.21133500,True,True,0.59665736
2019-11-01 00:00:00,0.07019225,True,True,0.57314920
2019-12-02 00:00:00,0.40950246,True,True,0.64807407
2020-01-02 00:00:00,0.44463788,True,True,0.77136243
2020-02-03 00:00:00,0.09316215,True,True,0.61644140
2020-03-02 00:00:00,0.00000542,True,True,0.74027022
2020-04-01 00:00:00,0.05873939,True,True,0.53851648
2020-05-01 00:00:00,0.05213506,True,True,0.66633325
2020-06-01 00:00:00,0.68579960,True,True,0.64807407
2020-07-01 00:00:00,0.39264581,True,True,0.71414284
2020-08-03 00:00:00,0.52038850,True,True,0.61644140
2020-09-01 00:00:00,0.02525352,True,True,0.32496154
2020-10-01 00:00:00,0.47079164,True,True,0.39749214
2020-11-02 00:00:00,0.49792686,True,True,0.48579831
2020-12-01 00:00:00,0.61382488,True,True,0.48579831
2021-01-04 00:00:00,0.01031310,True,True,0.60504545
2021-02-01 00:00:00,0.37683716,True,True,0.54954527
2021-03-01 00:00:00,0.87337078,True,True,0.56035703
2021-04-01 00:00:00,0.03272645,True,True,0.68410526
2021-05-03 00:00:00,0.03412558,True,True,0.71414284
2021-06-01 00:00:00,0.06227431,True,True,0.66633325
2021-07-01 00:00:00,0.44179813,True,True,0.64342832
2021-08-02 00:00:00,0.07386986,True,True,0.67527772
2021-09-01 00:00:00,0.02407182,True,True,0.60000000
2021-10-01 00:00:00,0.48361196,True,True,0.71414284
2021-11-01 00:00:00,0.06777449,True,True,0.71414284
2021-12-01 00:00:00,0.66891962,True,True,0.57792733
2022-01-03 00:00:00,0.14819213,True,True,0.62449980
2022-02-01 00:00:00,0.00294624,True,True,0.62449980
2022-03-01 00:00:00,0.16995719,True,True,0.67675697
2022-04-01 00:00:00,0.29454034,True,True,0.71414284
2022-05-02 00:00:00,0.03648758,True,True,0.71972217
2022-06-01 00:00:00,0.39611799,True,True,0.66783231
2022-07-01 00:00:00,0.00008058,True,True,0.68410526
2022-08-01 00:00:00,0.07209391,True,True,0.71449283
2022-09-01 00:00:00,0.02229805,True,True,0.84380092
2022-10-03 00:00:00,0.68587857,True,True,0.71414284
2022-11-01 00:00:00,0.48571828,True,True,0.60497934
2022-12-01 00:00:00,0.46549314,True,True,0.76550637
2023-01-03 00:00:00,0.30373101,True,True,0.66783231
2023-02-01 00:00:00,0.37049566,True,True,0.72307676
2023-03-01 00:00:00,0.53397321,True,True,0.53851648
2023-04-03 00:00:00,0.45843135,True,True,0.53103672
2023-05-01 00:00:00,0.00186199,True,True,0.47749346
2023-06-01 00:00:00,0.12870553,True,True,0.51961524
2023-07-03 00:00:00,0.50058995,True,True,0.48579831
2023-08-01 00:00:00,0.31888113,True,True,0.54954527
2023-09-01 00:00:00,0.26802470,True,True,0.60000000
2023-10-02 00:00:00,0.04404487,True,True,0.41713307
2023-11-01 00:00:00,0.33222023,True,True,0.47958315
2023-12-01 00:00:00,0.55386779,True,True,0.51961524
2024-01-02 00:00:00,0.26338398,True,True,0.66852076
2024-02-01 00:00:00,0.53628655,True,True,0.51961524
2024-03-01 00:00:00,,False,False,
2024-04-01 00:00:00,0.83680060,True,True,0.54954527
2024-05-01 00:00:00,0.66154631,True,True,0.48340459
2024-06-03 00:00:00,0.49040214,True,True,0.68635268
2024-07-01 00:00:00,0.54352256,True,True,0.76830983
2024-08-01 00:00:00,0.47738421,True,True,0.59398653
2024-09-02 00:00:00,0.00000000,True,True,0.57323643
2024-10-01 00:00:00,0.27776542,True,True,0.46043458
2024-11-01 00:00:00,0.10804431,True,True,0.47116876
2024-12-02 00:00:00,0.52316359,True,True,0.59665736
2025-01-02 00:00:00,0.21149835,True,True,0.50398413
2025-02-03 00:00:00,0.54019560,True,True,0.40496913
2025-03-03 00:00:00,0.80598519,True,True,0.42426407
2025-04-01 00:00:00,0.27665835,True,True,0.48010416
2025-05-01 00:00:00,0.37957956,True,True,0.58523500
2025-06-02 00:00:00,0.37193869,True,True,0.53478968
2025-07-01 00:00:00,0.71309665,True,True,0.61644140
2025-08-01 00:00:00,0.32209030,True,True,0.50398413
2025-09-01 00:00:00,0.00014706,True,True,0.65145990
2025-10-01 00:00:00,0.54468082,True,True,0.53291650
2025-11-03 00:00:00,0.54468082,True,True,0.53291650
2025-12-01 00:00:00,0.00000592,True,True,0.56920998
2026-01-02 00:00:00,0.56332381,True,True,0.56920998
2026-02-02 00:00:00,0.03166468,True,True,0.61644140
2026-03-02 00:00:00,0.00134498,True,True,0.51961524
2026-04-01 00:00:00,0.69630776,True,True,0.51623638
2026-05-01 00:00:00,0.69630776,True,True,0.51623638
2026-06-01 00:00:00,0.69630776,True,True,0.51623638
