window;snapshot_id;base_currency;valuation_rule;requested_start;requested_end;actual_start;actual_end;n_obs;periods_per_year;source_dates_sha256;residual_tolerance;target_return_ann;success;status;message;iterations;objective;budget_residual;target_residual;bound_violation;return_ann;volatility_ann;feasible;weight_SWDA.L;weight_XLK;weight_IAU;weight_BIL
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,09286784;True;0;Optimization terminated successfully;8;0,00338179;0,00000000;0,00000000;0,00000000;0,09286784;0,05815313;True;0,00000000;0,19147303;0,24247406;0,56605290
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,09648680;True;0;Optimization terminated successfully;8;0,00372706;0,00000000;0,00000000;0,00000000;0,09648680;0,06104965;True;0,00000000;0,20100187;0,25467142;0,54432670
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,10010575;True;0;Optimization terminated successfully;9;0,00408915;0,00000000;0,00000000;0,00000000;0,10010575;0,06394649;True;0,00000000;0,21053071;0,26686879;0,52260050
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,10372470;True;0;Optimization terminated successfully;9;0,00446807;0,00000000;0,00000000;0,00000000;0,10372470;0,06684361;True;0,00000000;0,22005956;0,27906615;0,50087430
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,10734365;True;0;Optimization terminated successfully;9;0,00486380;0,00000000;0,00000000;0,00000000;0,10734365;0,06974096;True;0,00000000;0,22958840;0,29126351;0,47914809
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,11096260;True;0;Optimization terminated successfully;9;0,00527636;0,00000000;0,00000000;0,00000000;0,11096260;0,07263853;True;0,00000000;0,23911724;0,30346087;0,45742189
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,11458155;True;0;Optimization terminated successfully;9;0,00570573;0,00000000;0,00000000;0,00000000;0,11458155;0,07553628;True;0,00000000;0,24864607;0,31565824;0,43569568
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,11820050;True;0;Optimization terminated successfully;9;0,00615192;0,00000000;0,00000000;0,00000000;0,11820050;0,07843420;True;0,00000000;0,25817490;0,32785563;0,41396947
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,12181945;True;0;Optimization terminated successfully;9;0,00661494;0,00000000;0,00000000;0,00000000;0,12181945;0,08133227;True;0,00000000;0,26770373;0,34005301;0,39224326
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,12543840;True;0;Optimization terminated successfully;9;0,00709477;0,00000000;-0,00000000;0,00000000;0,12543840;0,08423048;True;0,00000000;0,27723257;0,35225036;0,37051706
