schema;portfolio_id;return_basis;window_label;start;end;n_obs;periods_per_year;cash_benchmark_id;currency_basis;source;row_kind;ann_vol;cagr;calmar;downside_rms;maxdd;raw_market_model_beta;raw_market_model_end;raw_market_model_hac_maxlags;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_native_period;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_kind;raw_market_model_n_obs;raw_market_model_periods_per_year;raw_market_model_r2;raw_market_model_start;sharpe;sortino;ssr_L_hac;ssr_alpha;ssr_block_len;ssr_mean_rolling_sr;ssr_n_boot;ssr_n_obs;ssr_n_rolling;ssr_p_value;ssr_p_value_lower;ssr_periods_per_year;ssr_seed;ssr_sigma_hac;ssr_sr_full;ssr_sr_star;ssr_ssr;ssr_window;total_return
portfolio_metrics.reader.v2;static_bh_25pct_2009-09-25;adjusted_total_return_local_quotes_static_25pct;max Markowitz static panel;2009-09-28;2026-01-30;4036;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;scripts/build_tear_sheet.py:static_bh_25pct|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/basket_adjusted_close_local.parquet#90993b1a5f1f05c1126d4ba52a5849baa6cd610047f2e3f90119d054dffe76cf|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;0,13846622;0,12445576;0,51334009;0,00617082;-0,24244310;;;;;;;;;;;;;0,84338285;1,18672301;182;0,05000000;1;1,04293560;1000;4036;3785;0,00099900;1,00000000;252;0;9,13882386;0,84338285;0,00000000;0,11412142;252;5,80441829
portfolio_metrics.reader.v2;factor_pit_ext2026;factor_pit_anchored_equity;"Markowitz panel requested 2009-09-25..2026-01-30; strategy 2019-01-03..2026-01-30";2019-01-03;2026-01-30;1745;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;factor_run:factor_ext2026_2019-01-01_2026-06-30_v1/factor_equity_ext2026.parquet#9ea6f9529dcb39bcebda934a89940e2dd5ce6784cecf9bc5c1ff5b48a04f2d75|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;0,08957434;0,12635473;1,10786397;0,00386563;-0,11405257;0,21894478;2026-01-30;5,00000000;0,08581023;0,00034052;0,00010552;3,22717769;raw_market_model;1745,00000000;252,00000000;0,23457453;2019-01-03;1,11333041;1,60570642;134;0,05000000;1;0,98415349;1000;1745;1494;0,00399600;0,99700300;252;0;7,66567673;1,11333041;0,00000000;0,12838442;252;1,32125631
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;"Markowitz panel requested 2009-09-25..2026-01-30; strategy 2014-01-03..2026-01-30";2014-01-03;2026-01-30;2983;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;0,05793239;0,06378808;0,77989114;0,00251528;-0,08179100;0,11980463;2026-01-30;5,00000000;0,04740587;0,00018812;0,00005603;3,35729614;raw_market_model;2983,00000000;252,00000000;0,12968481;2014-01-03;0,82298652;1,17573851;164;0,05000000;1;0,09864300;1000;2983;2732;0,00299700;0,99800200;252;0;22,54935251;0,82298652;0,00000000;0,00437454;252;1,11018308
