ann_vol;cagr;calmar;cash_benchmark_id;currency_basis;downside_rms;end;maxdd;n_obs;periods_per_year;portfolio_id;raw_market_model_beta;raw_market_model_end;raw_market_model_hac_maxlags;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_native_period;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_kind;raw_market_model_n_obs;raw_market_model_periods_per_year;raw_market_model_r2;raw_market_model_start;return_basis;row_kind;schema;sharpe;sortino;source;ssr_L_hac;ssr_alpha;ssr_block_len;ssr_mean_rolling_sr;ssr_n_boot;ssr_n_obs;ssr_n_rolling;ssr_p_value;ssr_p_value_lower;ssr_periods_per_year;ssr_seed;ssr_sigma_hac;ssr_sr_full;ssr_sr_star;ssr_ssr;ssr_window;start;total_return;window_label;endpoint_total_return_difference
0,09282325;0,12818150;1,12388089;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;0,00400495;2026-06-30;-0,11405257;1845;252;factor_pit_ext2026;0,23500113;2026-06-30;5,00000000;0,08453167;0,00033544;0,00010696;3,13609611;raw_market_model;1845,00000000;252,00000000;0,24562542;2019-01-03;adjusted_total_return_equity;full;portfolio_metrics.reader.v2;1,09081282;1,57343952;scripts/extend_stream_2026.py:factor_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;137;0,05000000;1;1,01673617;1000;1845;1594;0,00199800;0,99900100;252;0;7,62961862;1,09081282;0,00000000;0,13326173;252;2019-01-03;1,46807482;2019-01-03..2026-06-30;
0,09754772;0,15365372;1,24172361;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;0,00425777;2026-06-30;-0,12374228;1845;252;factor_nonpit_diagnostic_ext2026;0,25616586;2026-06-30;5,00000000;0,10395415;0,00041252;0,00011174;3,69182484;raw_market_model;1845,00000000;252,00000000;0,26427449;2019-01-03;adjusted_total_return_equity;full;portfolio_metrics.reader.v2;1,27656674;1,82226627;scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;137;0,05000000;1;1,26431161;1000;1845;1594;0,00199800;0,99900100;252;0;8,41494566;1,27656674;0,00000000;0,15024596;252;2019-01-03;1,91737615;2019-01-03..2026-06-30;
0,03519360;0,02242770;0,43720736;not_applicable_direct_daily_spread;legacy_mixed_local_quotes;0,00153561;2026-06-30;-0,05129762;1845;252;factor_nonpit_minus_pit_ext2026;;;;;;;;;;;;;direct_daily_return_spread_nonpit_minus_pit;;portfolio_metrics.differential.v2;0,66243519;0,95637147;scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet-scripts/extend_stream_2026.py:factor_equity_ext2026.parquet;137;0,05000000;16;0,85804216;1000;1845;1594;0,04795205;0,95304695;252;0;7,04094664;0,66243519;0,00000000;0,12186460;252;2019-01-03;0,18074344;2019-01-03..2026-06-30;0,44930134
