ann_vol_cal;cagr_rows;calmar_rows;cash_benchmark_id;currency_basis;downside_rms;end;maxdd;n_obs;periods_per_year;portfolio_id;return_basis;schema;sharpe_cal;sortino_cal;source;start;total_return;window_label
0,11171280;0,19558092;1,71483131;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;0,00400495;2026-06-30;-0,11405257;1845;365;factor_pit_ext2026;adjusted_total_return_equity;portfolio_metrics.vectorbt365.v1;1,65615093;2,41801549;scripts/extend_stream_2026.py:factor_equity_ext2026.parquet;2019-01-03;1,46807482;2019-01-03..2026-06-30
0,11739870;0,23577823;1,90539742;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;0,00425777;2026-06-30;-0,12374228;1845;365;factor_nonpit_diagnostic_ext2026;adjusted_total_return_equity;portfolio_metrics.vectorbt365.v1;1,86357091;2,68955554;scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet;2019-01-03;1,91737615;2019-01-03..2026-06-30
