schema;portfolio_id;return_basis;window_label;start;end;n_obs;periods_per_year;cash_benchmark_id;currency_basis;source;source_schema;raw_market_model_kind;raw_market_model_intercept_native_period;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_beta;raw_market_model_r2;raw_market_model_hac_maxlags;systematic_variance_share;idiosyncratic_variance_share
risk_decomposition.v1;factor_pit_ext2026;adjusted_total_return_equity;2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;scripts/extend_stream_2026.py:factor_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;attribution.raw_market_model.v1;raw_market_model;0,00033544;0,08453167;0,00010696;3,13609611;0,23500113;0,24562542;5;0,24562542;0,75437458
risk_decomposition.v1;factor_nonpit_diagnostic_ext2026;adjusted_total_return_equity;2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;attribution.raw_market_model.v1;raw_market_model;0,00041252;0,10395415;0,00011174;3,69182484;0,25616586;0,26427449;5;0,26427449;0,73572551
