actual_end;anchor;boundary_anchored_max_drawdown;cash_benchmark_id;currency_basis;end;episode_return;first_return_date;n_obs;n_returns;periods_per_year;portfolio_id;requested_end;requested_start;return_basis;schema;source;start;volatility_ann;window_label
2022-12-30;2021-12-31;-0,11325293;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;2022-12-30;-0,03836329;2022-01-04;243;243;252;factor_pit_ext2026;2022-12-31;2022-01-01;adjusted_total_return_equity;crisis_metrics.boundary_anchored.v1;scripts/extend_stream_2026.py:factor_equity_ext2026.parquet;2021-12-31;0,08840574;2021-12-31..2022-12-30
2022-12-30;2021-12-31;-0,10111640;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;2022-12-30;-0,03817839;2022-01-04;243;243;252;factor_nonpit_diagnostic_ext2026;2022-12-31;2022-01-01;adjusted_total_return_equity;crisis_metrics.boundary_anchored.v1;scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet;2021-12-31;0,08951127;2021-12-31..2022-12-30
