schema,portfolio_id,return_basis,window_label,start,end,n_obs,periods_per_year,cash_benchmark_id,currency_basis,source,source_schema,raw_market_model_kind,raw_market_model_intercept_native_period,raw_market_model_intercept_ann_arithmetic,raw_market_model_intercept_se_hac,raw_market_model_intercept_t_hac,raw_market_model_beta,raw_market_model_r2,raw_market_model_hac_maxlags,systematic_variance_share,idiosyncratic_variance_share
risk_decomposition.v1,factor_pit_ext2026,adjusted_total_return_equity,2016-01-04..2026-06-30,2016-01-04,2026-06-30,2588,252,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,scripts/extend_stream_2026.py:factor_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,attribution.raw_market_model.v1,raw_market_model,0.00031003,0.07812667,0.00009049,3.42593002,0.21350985,0.19659344,5,0.19659344,0.80340656
risk_decomposition.v1,factor_nonpit_diagnostic_ext2026,adjusted_total_return_equity,2016-01-04..2026-06-30,2016-01-04,2026-06-30,2588,252,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,attribution.raw_market_model.v1,raw_market_model,0.00034618,0.08723684,0.00009096,3.80585825,0.23885522,0.23188521,5,0.23188521,0.76811479
