schema,portfolio_id,return_basis,window_label,start,end,n_obs,periods_per_year,cash_benchmark_id,currency_basis,source,row_kind,ann_vol,cagr,calmar,downside_rms,maxdd,raw_market_model_beta,raw_market_model_end,raw_market_model_hac_maxlags,raw_market_model_intercept_ann_arithmetic,raw_market_model_intercept_native_period,raw_market_model_intercept_se_hac,raw_market_model_intercept_t_hac,raw_market_model_kind,raw_market_model_n_obs,raw_market_model_periods_per_year,raw_market_model_r2,raw_market_model_start,sharpe,sortino,ssr_L_hac,ssr_alpha,ssr_block_len,ssr_mean_rolling_sr,ssr_n_boot,ssr_n_obs,ssr_n_rolling,ssr_p_value,ssr_p_value_lower,ssr_periods_per_year,ssr_seed,ssr_sigma_hac,ssr_sr_full,ssr_sr_star,ssr_ssr,ssr_window,total_return
portfolio_metrics.reader.v2,static_bh_25pct_2016-02-01,adjusted_total_return_local_quotes_static_25pct,10y Markowitz static panel,2016-02-02,2026-01-30,2468,252,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,scripts/build_tear_sheet.py:static_bh_25pct|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/basket_adjusted_close_local.parquet#90993b1a5f1f05c1126d4ba52a5849baa6cd610047f2e3f90119d054dffe76cf|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,full,0.12932937,0.15440385,0.78654503,0.00564813,-0.19630644,0.60475956,2026-01-30,5,0.05623236,0.00022314,0.00007522,2.96662447,raw_market_model,2468,252,0.71009216,2016-02-02,1.03633737,1.48410006,153,0.05000000,1,1.17934290,1000,2468,2217,0.00099900,1.00000000,252,0,8.84274028,1.03633737,0.00000000,0.13336849,252,3.20069923
portfolio_metrics.reader.v2,factor_pit_ext2026,factor_pit_anchored_equity,Markowitz panel requested 2016-02-01..2026-01-30; strategy 2016-02-01..2026-01-30,2016-02-01,2026-01-30,2469,252,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,factor_run:factor_ext2026_2016-01-01_2026-06-30_v1/factor_equity_ext2026.parquet#cc148faf1773d42e476440b64dcfb76392ea2eed217dffee6827abce6a66f749|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,full,0.08381894,0.10895238,0.95528209,0.00360130,-0.11405257,0.20201396,2026-01-30,5,0.07617347,0.00030228,0.00008965,3.37171582,raw_market_model,2469,252,0.18855905,2016-02-01,1.05333046,1.52724657,153,0.05000000,1,0.93719787,1000,2469,2218,0.00199800,0.99900100,252,0,8.05116673,1.05333046,0.00000000,0.11640522,252,1.81393076
portfolio_metrics.reader.v2,sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z,sjm_v3_overlay_anchored_equity,Markowitz panel requested 2016-02-01..2026-01-30; strategy 2016-02-01..2026-01-30,2016-02-01,2026-01-30,2469,252,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#BIL@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,full,0.07161813,0.09409065,1.15037899,0.00309552,-0.08179100,0.14385179,2026-01-30,5,0.07093229,0.00028148,0.00007803,3.60732755,raw_market_model,2469,252,0.13096446,2016-02-01,1.02735691,1.47766023,153,0.05000000,1,0.83812927,1000,2469,2218,0.00199800,0.99900100,252,0,8.59679177,1.02735691,0.00000000,0.09749326,252,1.45863156
