cash_benchmark_id,currency_basis,end,n_obs,periods_per_year,portfolio_id,raw_market_model_beta,raw_market_model_end,raw_market_model_hac_maxlags,raw_market_model_intercept_ann_arithmetic,raw_market_model_intercept_native_period,raw_market_model_intercept_se_hac,raw_market_model_intercept_t_hac,raw_market_model_kind,raw_market_model_n_obs,raw_market_model_periods_per_year,raw_market_model_r2,raw_market_model_start,return_basis,schema,source,start,window_label
BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,2026-06-30,2588,252,factor_pit_ext2026,0.21350985,2026-06-30,5,0.07812667,0.00031003,0.00009049,3.42593002,raw_market_model,2588,252,0.19659344,2016-01-04,adjusted_total_return_equity,attribution.raw_market_model.v1,scripts/extend_stream_2026.py:factor_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,2016-01-04,2016-01-04..2026-06-30
BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,2026-06-30,2588,252,factor_nonpit_diagnostic_ext2026,0.23885522,2026-06-30,5,0.08723684,0.00034618,0.00009096,3.80585825,raw_market_model,2588,252,0.23188521,2016-01-04,adjusted_total_return_equity,attribution.raw_market_model.v1,scripts/extend_stream_2026.py:factor_nonpit_diagnostic_equity_ext2026.parquet|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3,2016-01-04,2016-01-04..2026-06-30
