iteration,kind,param,value,appraisal,passed,first_failure,decision
18,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9364364023763364,True,,REVERT
19,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0756782304814771,True,,REVERT
20,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.056233498762897,True,,REVERT
21,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1203581270516634,True,,KEEP
22,overlay,overlay,"{'lam': 100.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9106769430706071,True,,REVERT
23,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9737578444095589,True,,REVERT
24,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 504, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1154226112900405,True,,REVERT
25,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0982482414157089,True,,REVERT
26,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.1, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0297751731532112,True,,REVERT
27,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.2, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0051146193275948,True,,REVERT
28,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.3, 'floor': 0.4, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9857711427051526,True,,REVERT
29,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.5, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.0952359141684622,True,,REVERT
30,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.3, 'arm': -0.02, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1203581270516634,True,,REVERT
31,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9464140704057729,True,,REVERT
32,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'arm': -0.03, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",1.1564782022665763,True,,KEEP
