iteration,kind,param,value,appraisal,passed,first_failure,decision
0,,,,0.8188552871631659,False,risk_shape: CAGR 7.21% vs floor 9.73% / maxDD -8.8%,KEEP
1,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.9179906502486143,False,risk_shape: CAGR 7.58% vs floor 9.73% / maxDD -8.3%,REVERT
2,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7028869203613449,False,risk_shape: CAGR 7.00% vs floor 9.73% / maxDD -10.0%,REVERT
3,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.8118843316572546,False,risk_shape: CAGR 7.15% vs floor 9.73% / maxDD -8.8%,REVERT
4,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.6533325982268396,False,risk_shape: CAGR 6.67% vs floor 9.73% / maxDD -10.2%,REVERT
5,overlay,overlay,"{'lam': 50.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.8509447912714944,False,risk_shape: CAGR 7.40% vs floor 9.73% / maxDD -8.7%,REVERT
6,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.8187232352269095,False,risk_shape: CAGR 6.50% vs floor 9.73% / maxDD -7.9%,REVERT
