date;p_memorized;parse_ok;steered;conviction
2014-05-01 00:00:00;0,38020446;True;True;0,40496913
2014-06-02 00:00:00;0,01247552;True;True;0,45825757
2014-07-01 00:00:00;0,53147888;True;True;0,60405298
2014-08-01 00:00:00;0,09433294;True;True;0,48579831
2014-09-01 00:00:00;0,00286099;True;True;0,50990195
2014-10-01 00:00:00;0,67297409;True;True;0,68000000
2014-11-03 00:00:00;0,46497473;True;True;0,55670459
2014-12-01 00:00:00;0,35937802;True;True;0,76681158
2015-01-02 00:00:00;0,23720969;True;True;0,65574385
2015-02-02 00:00:00;0,03346404;True;True;0,63087241
2015-03-02 00:00:00;0,52848077;True;True;0,71414284
2015-04-01 00:00:00;0,46004796;True;True;0,71133677
2015-05-01 00:00:00;0,06536285;True;True;0,71449283
2015-06-01 00:00:00;0,12609925;True;True;0,76681158
2015-07-01 00:00:00;0,34159638;True;True;0,65000000
2015-08-03 00:00:00;0,28430421;True;True;0,70115619
2015-09-01 00:00:00;0,17980457;True;True;0,61644140
2015-10-01 00:00:00;0,25512955;True;True;0,73484692
2015-11-02 00:00:00;0,73534633;True;True;0,70710678
2015-12-01 00:00:00;0,02302226;True;True;0,71833140
2016-01-04 00:00:00;0,43863726;True;True;0,74699398
2016-02-01 00:00:00;0,36593767;True;True;0,61644140
2016-03-01 00:00:00;0,32058587;True;True;0,76910337
2016-04-01 00:00:00;0,00597082;True;True;0,64031242
2016-05-02 00:00:00;0,00007522;True;True;0,61644140
2016-06-01 00:00:00;0,24750830;True;True;0,50990195
2016-07-01 00:00:00;0,29523768;True;True;0,54772256
2016-08-01 00:00:00;0,40740234;True;True;0,61481705
2016-09-01 00:00:00;0,18436440;True;True;0,67675697
2016-10-03 00:00:00;0,73760455;True;True;0,36055513
2016-11-01 00:00:00;0,38170220;True;True;0,65268675
2016-12-01 00:00:00;0,35733121;True;True;0,59901586
2017-01-03 00:00:00;0,00000072;True;True;0,69137544
2017-02-01 00:00:00;0,28388685;True;True;0,71414284
2017-03-01 00:00:00;0,53628430;True;True;0,71414284
2017-04-03 00:00:00;0,63726126;True;True;0,70710678
2017-05-01 00:00:00;0,02379613;True;True;0,82583291
2017-06-01 00:00:00;0,03703840;True;True;0,66783231
2017-07-03 00:00:00;0,27882630;True;True;0,60827625
2017-08-01 00:00:00;0,54233181;True;True;0,46690470
2017-09-01 00:00:00;0,54466014;True;True;0,66030296
2017-10-02 00:00:00;0,00001615;True;True;0,61644140
2017-11-01 00:00:00;0,13458538;True;True;0,68992753
2017-12-01 00:00:00;0,02777373;True;True;0,61644140
2018-01-02 00:00:00;0,00986593;True;True;0,84616783
2018-02-01 00:00:00;0,00027113;True;True;0,68556546
2018-03-01 00:00:00;0,16425223;True;True;0,67823300
2018-04-02 00:00:00;0,06656950;True;True;0,78358152
2018-05-01 00:00:00;0,00137626;True;True;0,61644140
2018-06-01 00:00:00;0,52387229;True;True;0,72938330
2018-07-02 00:00:00;0,06248024;True;True;0,69137544
2018-08-01 00:00:00;0,43244341;True;True;0,80622577
2018-09-03 00:00:00;0,44669441;True;True;0,61644140
2018-10-01 00:00:00;0,72539569;True;True;0,74027022
2018-11-01 00:00:00;0,57437678;True;True;0,76681158
2018-12-03 00:00:00;0,51805791;True;True;0,60497934
2019-01-02 00:00:00;0,29204048;True;True;0,82036577
2019-02-01 00:00:00;0,60414109;True;True;0,55196014
2019-03-01 00:00:00;0,47493392;True;True;0,57445626
2019-04-01 00:00:00;0,61393731;True;True;0,54954527
2019-05-01 00:00:00;0,03837118;True;True;0,54954527
2019-06-03 00:00:00;0,06919663;True;True;0,47749346
