date;p_memorized;parse_ok;steered;conviction
2014-05-01 00:00:00;0,48349746;True;True;0,50299105
2014-06-02 00:00:00;0,95868124;True;True;0,53853505
2014-07-01 00:00:00;0,96615066;True;True;0,51289375
2014-08-01 00:00:00;0,53932241;True;True;0,44292212
2014-09-01 00:00:00;;False;False;
2014-10-01 00:00:00;0,66067279;True;True;0,58013791
2014-11-03 00:00:00;0,75902295;True;True;0,62936476
2014-12-01 00:00:00;0,93137379;True;True;0,86357397
2015-01-02 00:00:00;0,69455393;True;True;0,86828567
2015-02-02 00:00:00;0,41454319;True;True;0,71414284
2015-03-02 00:00:00;0,71031492;True;True;0,90800881
2015-04-01 00:00:00;0,58861495;True;True;0,62649820
2015-05-01 00:00:00;0,96214081;True;True;0,90209756
2015-06-01 00:00:00;0,94564926;True;True;0,85855693
2015-07-01 00:00:00;0,78012679;True;True;0,56906942
2015-08-03 00:00:00;0,76935437;True;True;0,56391489
2015-09-01 00:00:00;0,69576336;True;True;0,65940883
2015-10-01 00:00:00;0,63243678;True;True;1,00000000
2015-11-02 00:00:00;0,80206807;True;True;0,63379808
2015-12-01 00:00:00;0,83149239;True;True;1,00000000
2016-01-04 00:00:00;0,97853129;True;True;0,95717292
2016-02-01 00:00:00;0,74894033;True;True;0,61124463
2016-03-01 00:00:00;0,92282579;True;True;0,64031242
2016-04-01 00:00:00;0,78631013;True;True;0,90580351
2016-05-02 00:00:00;0,59589574;True;True;0,78289207
2016-06-01 00:00:00;0,52419495;True;True;0,53103672
2016-07-01 00:00:00;0,65261551;True;True;0,55949978
2016-08-01 00:00:00;0,58108508;True;True;0,67796755
2016-09-01 00:00:00;0,68432490;True;True;0,68824414
2016-10-03 00:00:00;0,86719728;True;True;0,63560994
2016-11-01 00:00:00;0,96425902;True;True;0,76426435
2016-12-01 00:00:00;0,93589038;True;True;0,60606930
2017-01-03 00:00:00;0,92030319;True;True;0,79193434
2017-02-01 00:00:00;0,80316315;True;True;0,63718129
2017-03-01 00:00:00;0,67762932;True;True;0,71414284
2017-04-03 00:00:00;0,84796851;True;True;0,72938330
2017-05-01 00:00:00;0,64222468;True;True;0,88769364
2017-06-01 00:00:00;0,68291177;True;True;0,66783231
2017-07-03 00:00:00;0,95822605;True;True;0,61170254
2017-08-01 00:00:00;0,94683984;True;True;0,64807407
2017-09-01 00:00:00;0,34636976;True;True;0,80815840
2017-10-02 00:00:00;0,75379544;True;True;0,72249567
2017-11-01 00:00:00;0,92983060;True;True;0,99212902
2017-12-01 00:00:00;;False;False;
2018-01-02 00:00:00;0,70775449;True;True;0,66633325
2018-02-01 00:00:00;;False;False;
2018-03-01 00:00:00;0,71653358;True;True;0,78740079
2018-04-02 00:00:00;0,65767562;True;True;0,68556546
2018-05-01 00:00:00;0,73644952;True;True;0,66633325
2018-06-01 00:00:00;0,71818222;True;True;0,56920998
2018-07-02 00:00:00;0,49043483;True;True;0,82811835
2018-08-01 00:00:00;0,50970045;True;True;0,70142712
2018-09-03 00:00:00;0,57806884;True;True;0,68556546
2018-10-01 00:00:00;0,62506716;True;True;1,00000000
2018-11-01 00:00:00;0,98442276;True;True;0,80360438
2018-12-03 00:00:00;0,49085490;True;True;0,69137544
2019-01-02 00:00:00;0,62460401;True;True;0,84083292
2019-02-01 00:00:00;0,67300639;True;True;0,69439182
2019-03-01 00:00:00;0,89309922;True;True;0,64187226
2019-04-01 00:00:00;0,66317368;True;True;0,60149813
2019-05-01 00:00:00;0,66351016;True;True;0,77254126
2019-06-03 00:00:00;0,56758252;True;True;0,63718129
2019-07-01 00:00:00;0,96644711;True;True;0,50793700
2019-08-01 00:00:00;;False;False;
2019-09-02 00:00:00;0,68191206;True;True;0,80653580
2019-10-01 00:00:00;0,92908999;True;True;0,53851648
2019-11-01 00:00:00;0,73907232;True;True;0,63600314
2019-12-02 00:00:00;;False;False;
2020-01-02 00:00:00;;False;False;
2020-02-03 00:00:00;0,42910456;True;True;0,83565543
2020-03-02 00:00:00;;False;False;
2020-04-01 00:00:00;0,69341211;True;True;0,69127419
2020-05-01 00:00:00;0,74430708;True;True;0,86970110
2020-06-01 00:00:00;0,72372537;True;True;0,72625065
2020-07-01 00:00:00;0,61813663;True;True;0,78124260
2020-08-03 00:00:00;0,54248043;True;True;0,54400368
2020-09-01 00:00:00;0,45052104;True;True;0,32790242
2020-10-01 00:00:00;0,57152751;True;True;0,36671515
2020-11-02 00:00:00;0,72457035;True;True;0,50000000
2020-12-01 00:00:00;0,97923081;True;True;0,46316304
2021-01-04 00:00:00;0,63915925;True;True;0,57103415
2021-02-01 00:00:00;0,54063676;True;True;0,61854668
2021-03-01 00:00:00;0,66098023;True;True;0,74966659
2021-04-01 00:00:00;0,00000000;True;True;0,71480067
2021-05-03 00:00:00;0,94284173;True;True;0,76681158
2021-06-01 00:00:00;0,89068785;True;True;0,64691576
2021-07-01 00:00:00;0,66250283;True;True;0,55585969
2021-08-02 00:00:00;0,58101548;True;True;0,71414284
2021-09-01 00:00:00;0,96886567;True;True;0,70142712
2021-10-01 00:00:00;0,54454407;True;True;0,71278328
2021-11-01 00:00:00;0,52540224;True;True;0,71414284
2021-12-01 00:00:00;0,34736738;True;True;0,53712196
2022-01-03 00:00:00;0,67230014;True;True;0,77491935
2022-02-01 00:00:00;0,63117652;True;True;0,52057660
2022-03-01 00:00:00;;False;False;
2022-04-01 00:00:00;0,93865663;True;True;0,73484692
2022-05-02 00:00:00;0,82580961;True;True;0,74263046
2022-06-01 00:00:00;0,96356488;True;True;0,63512204
2022-07-01 00:00:00;0,68703436;True;True;0,92195445
2022-08-01 00:00:00;0,83006090;True;True;0,83785440
2022-09-01 00:00:00;0,74173978;True;True;0,81884064
2022-10-03 00:00:00;0,80281533;True;True;1,00000000
2022-11-01 00:00:00;0,57715850;True;True;0,70710678
2022-12-01 00:00:00;0,62293527;True;True;0,59497899
2023-01-03 00:00:00;0,43919081;True;True;0,85790442
2023-02-01 00:00:00;0,86388839;True;True;0,65135244
2023-03-01 00:00:00;;False;False;
2023-04-03 00:00:00;0,60557081;True;True;0,58991525
2023-05-01 00:00:00;0,70245218;True;True;0,60300912
2023-06-01 00:00:00;0,59175009;True;True;0,60314177
2023-07-03 00:00:00;0,58645943;True;True;0,65726707
