date,p_memorized,fail_reason,segment,variant
2025-01-02,0.00006071,,live_ext2026,pit
2025-02-03,0.58160425,,live_ext2026,pit
2025-03-03,0.62159306,,live_ext2026,pit
2025-04-01,0.00004134,,live_ext2026,pit
2025-05-01,0.52819459,,live_ext2026,pit
2025-06-02,0.93059981,,live_ext2026,pit
2025-07-01,0.41505012,,live_ext2026,pit
2025-08-01,0.58924033,,live_ext2026,pit
2025-09-01,0.58108209,,live_ext2026,pit
2025-10-01,0.58675969,,live_ext2026,pit
2025-11-03,0.00000000,,live_ext2026,pit
2025-12-01,0.42860050,,live_ext2026,pit
2026-01-02,0.28314499,,live_ext2026,pit
2026-02-02,0.50466772,,live_ext2026,pit
2026-03-02,0.01326115,,live_ext2026,pit
2026-04-01,0.55330729,,live_ext2026,pit
2026-05-01,0.21033554,,live_ext2026,pit
2026-06-01,0.49951136,,live_ext2026,pit
