Date;value;daily_return;drawdown
2014-01-02;10000,00000000;;0,00000000
2014-01-03;10000,00000000;0,00000000;0,00000000
2014-01-06;10000,00000000;0,00000000;0,00000000
2014-01-07;10000,00000000;0,00000000;0,00000000
2014-01-08;10000,00000000;0,00000000;0,00000000
2014-01-09;10000,00000000;0,00000000;0,00000000
2014-01-10;10000,00000000;0,00000000;0,00000000
2014-01-13;10000,00000000;0,00000000;0,00000000
2014-01-14;10000,00000000;0,00000000;0,00000000
2014-01-15;10000,00000000;0,00000000;0,00000000
2014-01-16;10000,00000000;0,00000000;0,00000000
2014-01-17;10000,00000000;0,00000000;0,00000000
2014-01-21;10000,00000000;0,00000000;0,00000000
2014-01-22;10000,00000000;0,00000000;0,00000000
2014-01-23;10000,00000000;0,00000000;0,00000000
2014-01-24;10000,00000000;0,00000000;0,00000000
2014-01-27;10000,00000000;0,00000000;0,00000000
2014-01-28;10000,00000000;0,00000000;0,00000000
2014-01-29;10000,00000000;0,00000000;0,00000000
2014-01-30;10000,00000000;0,00000000;0,00000000
2014-01-31;10000,00000000;0,00000000;0,00000000
2014-02-03;10000,00000000;0,00000000;0,00000000
2014-02-04;10000,00000000;0,00000000;0,00000000
2014-02-05;10000,00000000;0,00000000;0,00000000
2014-02-06;10000,00000000;0,00000000;0,00000000
2014-02-07;10000,00000000;0,00000000;0,00000000
2014-02-10;10000,00000000;0,00000000;0,00000000
2014-02-11;10000,00000000;0,00000000;0,00000000
2014-02-12;10000,00000000;0,00000000;0,00000000
2014-02-13;10000,00000000;0,00000000;0,00000000
2014-02-14;10000,00000000;0,00000000;0,00000000
2014-02-18;10000,00000000;0,00000000;0,00000000
2014-02-19;10000,00000000;0,00000000;0,00000000
2014-02-20;10000,00000000;0,00000000;0,00000000
2014-02-21;10000,00000000;0,00000000;0,00000000
2014-02-24;10000,00000000;0,00000000;0,00000000
2014-02-25;10000,00000000;0,00000000;0,00000000
2014-02-26;10000,00000000;0,00000000;0,00000000
2014-02-27;10000,00000000;0,00000000;0,00000000
2014-02-28;10000,00000000;0,00000000;0,00000000
2014-03-03;10000,00000000;0,00000000;0,00000000
2014-03-04;10000,00000000;0,00000000;0,00000000
2014-03-05;10000,00000000;0,00000000;0,00000000
2014-03-06;10000,00000000;0,00000000;0,00000000
2014-03-07;10000,00000000;0,00000000;0,00000000
2014-03-10;10000,00000000;0,00000000;0,00000000
2014-03-11;10000,00000000;0,00000000;0,00000000
2014-03-12;10000,00000000;0,00000000;0,00000000
2014-03-13;10000,00000000;0,00000000;0,00000000
2014-03-14;10000,00000000;0,00000000;0,00000000
2014-03-17;10000,00000000;0,00000000;0,00000000
2014-03-18;10000,00000000;0,00000000;0,00000000
2014-03-19;10000,00000000;0,00000000;0,00000000
2014-03-20;10000,00000000;0,00000000;0,00000000
2014-03-21;10000,00000000;0,00000000;0,00000000
2014-03-24;10000,00000000;0,00000000;0,00000000
2014-03-25;10000,00000000;0,00000000;0,00000000
2014-03-26;10000,00000000;0,00000000;0,00000000
2014-03-27;10000,00000000;0,00000000;0,00000000
2014-03-28;10000,00000000;0,00000000;0,00000000
2014-03-31;10000,00000000;0,00000000;0,00000000
2014-04-01;10000,00000000;0,00000000;0,00000000
2014-04-02;10000,00000000;0,00000000;0,00000000
2014-04-03;10000,00000000;0,00000000;0,00000000
2014-04-04;10000,00000000;0,00000000;0,00000000
2014-04-07;10000,00000000;0,00000000;0,00000000
2014-04-08;10000,00000000;0,00000000;0,00000000
2014-04-09;10000,00000000;0,00000000;0,00000000
2014-04-10;10000,00000000;0,00000000;0,00000000
2014-04-11;10000,00000000;0,00000000;0,00000000
2014-04-14;10000,00000000;0,00000000;0,00000000
2014-04-15;10000,00000000;0,00000000;0,00000000
2014-04-16;10000,00000000;0,00000000;0,00000000
2014-04-17;10000,00000000;0,00000000;0,00000000
2014-04-22;10000,00000000;0,00000000;0,00000000
2014-04-23;10000,00000000;0,00000000;0,00000000
2014-04-24;10000,00000000;0,00000000;0,00000000
2014-04-25;10000,00000000;0,00000000;0,00000000
2014-04-28;10000,00000000;0,00000000;0,00000000
2014-04-29;10000,00000000;0,00000000;0,00000000
2014-04-30;10000,00000000;0,00000000;0,00000000
2014-05-01;10000,00000000;0,00000000;0,00000000
2014-05-02;10000,00000000;0,00000000;0,00000000
2014-05-06;10000,00000000;0,00000000;0,00000000
2014-05-07;10000,00000000;0,00000000;0,00000000
2014-05-08;10000,00000000;0,00000000;0,00000000
2014-05-09;10000,00000000;0,00000000;0,00000000
2014-05-12;10000,00000000;0,00000000;0,00000000
2014-05-13;10000,00000000;0,00000000;0,00000000
2014-05-14;10000,00000000;0,00000000;0,00000000
2014-05-15;10000,00000000;0,00000000;0,00000000
2014-05-16;10000,00000000;0,00000000;0,00000000
2014-05-19;10000,00000000;0,00000000;0,00000000
2014-05-20;10000,00000000;0,00000000;0,00000000
2014-05-21;10000,00000000;0,00000000;0,00000000
2014-05-22;10000,00000000;0,00000000;0,00000000
2014-05-23;10000,00000000;0,00000000;0,00000000
2014-05-27;10000,00000000;0,00000000;0,00000000
2014-05-28;10000,00000000;0,00000000;0,00000000
2014-05-29;10000,00000000;0,00000000;0,00000000
2014-05-30;10000,00000000;0,00000000;0,00000000
2014-06-02;10000,00000000;0,00000000;0,00000000
2014-06-03;10000,00000000;0,00000000;0,00000000
2014-06-04;10000,00000000;0,00000000;0,00000000
2014-06-05;10000,00000000;0,00000000;0,00000000
2014-06-06;10000,00000000;0,00000000;0,00000000
2014-06-09;10000,00000000;0,00000000;0,00000000
2014-06-10;10000,00000000;0,00000000;0,00000000
2014-06-11;10000,00000000;0,00000000;0,00000000
2014-06-12;10000,00000000;0,00000000;0,00000000
2014-06-13;10000,00000000;0,00000000;0,00000000
2014-06-16;10000,00000000;0,00000000;0,00000000
2014-06-17;10000,00000000;0,00000000;0,00000000
2014-06-18;10000,00000000;0,00000000;0,00000000
2014-06-19;10000,00000000;0,00000000;0,00000000
2014-06-20;10000,00000000;0,00000000;0,00000000
2014-06-23;10000,00000000;0,00000000;0,00000000
2014-06-24;10000,00000000;0,00000000;0,00000000
2014-06-25;10000,00000000;0,00000000;0,00000000
2014-06-26;10000,00000000;0,00000000;0,00000000
2014-06-27;10000,00000000;0,00000000;0,00000000
2014-06-30;10000,00000000;0,00000000;0,00000000
2014-07-01;10000,00000000;0,00000000;0,00000000
2014-07-02;10000,00000000;0,00000000;0,00000000
2014-07-03;10000,00000000;0,00000000;0,00000000
2014-07-07;10000,00000000;0,00000000;0,00000000
2014-07-08;10000,00000000;0,00000000;0,00000000
2014-07-09;10000,00000000;0,00000000;0,00000000
2014-07-10;10000,00000000;0,00000000;0,00000000
2014-07-11;10000,00000000;0,00000000;0,00000000
2014-07-14;10000,00000000;0,00000000;0,00000000
2014-07-15;10000,00000000;0,00000000;0,00000000
2014-07-16;10000,00000000;0,00000000;0,00000000
2014-07-17;10000,00000000;0,00000000;0,00000000
2014-07-18;10000,00000000;0,00000000;0,00000000
2014-07-21;10000,00000000;0,00000000;0,00000000
2014-07-22;10000,00000000;0,00000000;0,00000000
2014-07-23;10000,00000000;0,00000000;0,00000000
2014-07-24;10000,00000000;0,00000000;0,00000000
2014-07-25;10000,00000000;0,00000000;0,00000000
2014-07-28;10000,00000000;0,00000000;0,00000000
2014-07-29;10000,00000000;0,00000000;0,00000000
2014-07-30;10000,00000000;0,00000000;0,00000000
2014-07-31;10000,00000000;0,00000000;0,00000000
2014-08-01;10000,00000000;0,00000000;0,00000000
2014-08-04;10000,00000000;0,00000000;0,00000000
2014-08-05;10000,00000000;0,00000000;0,00000000
2014-08-06;10000,00000000;0,00000000;0,00000000
2014-08-07;10000,00000000;0,00000000;0,00000000
2014-08-08;10000,00000000;0,00000000;0,00000000
2014-08-11;10000,00000000;0,00000000;0,00000000
2014-08-12;10000,00000000;0,00000000;0,00000000
2014-08-13;10000,00000000;0,00000000;0,00000000
2014-08-14;10000,00000000;0,00000000;0,00000000
2014-08-15;10000,00000000;0,00000000;0,00000000
2014-08-18;10000,00000000;0,00000000;0,00000000
2014-08-19;10000,00000000;0,00000000;0,00000000
2014-08-20;10000,00000000;0,00000000;0,00000000
2014-08-21;10000,00000000;0,00000000;0,00000000
