segment,n_pairs,mean_delta,median_delta,paired_d
in_training,65.00000000,0.39699731,0.41697347,1.34848606
post_cutoff,25.00000000,0.34032618,0.29228557,1.57099774
full_stream,90.00000000,0.38125533,0.38261048,1.38044485
