draw,rebalance_date,parse_ok,p_memorized,fail_reason,latency_s
0,2020-03-02,True,0.0015072155407490145,,
1,2020-03-02,True,0.48763683389953977,,
2,2020-03-02,True,0.007020559563005611,,
3,2020-03-02,True,0.17130598985408146,,
4,2020-03-02,True,0.0887187829434532,,
5,2020-03-02,True,0.1665539931291075,,
6,2020-03-02,True,0.2850417971856163,,
7,2020-03-02,True,0.019377274405254125,,
8,2020-03-02,True,0.09057735455546315,,
9,2020-03-02,True,0.002772181838853927,,
10,2020-03-02,True,0.019377274405254125,,
11,2020-03-02,True,0.006742727288696296,,
12,2020-03-02,True,0.0007491355572343645,,
13,2020-03-02,True,0.6074032376810029,,
14,2020-03-02,True,0.541715370591209,,
15,2020-03-02,True,2.9880833468463403e-23,,
16,2020-03-02,True,0.3437619843317954,,
17,2020-03-02,True,0.4428142787223179,,
18,2020-03-02,True,0.01665372396853735,,
19,2020-03-02,True,0.3022519573505816,,
20,2020-03-02,True,0.0017772365919200383,,
21,2020-03-02,True,0.07835696025721944,,
22,2020-03-02,True,0.00514079475796369,,
23,2020-03-02,True,0.02530343979570716,,
24,2020-03-02,True,0.15477343977352231,,
25,2020-03-02,True,0.6054677912239417,,
26,2020-03-02,True,0.6622932466410729,,
27,2020-03-02,True,0.01469650035497823,,
28,2020-03-02,True,0.3220437770028798,,
29,2020-03-02,True,0.5710283744977928,,
30,2020-03-02,True,0.012804478810329803,,
31,2020-03-02,True,0.004355605020087741,,
32,2020-03-02,True,0.3836311411603089,,
33,2020-03-02,True,0.004355605020087741,,
34,2020-03-02,True,0.004748224712424334,,
35,2020-03-02,True,0.004089806424382019,,
36,2020-03-02,True,0.004355605020087741,,
37,2020-03-02,True,0.07988604899064215,,
38,2020-03-02,True,0.5021097751076623,,
39,2020-03-02,True,2.2503389435803073e-16,,
40,2020-03-02,True,0.01247231721792922,,
41,2020-03-02,True,0.5008335062436561,,
42,2020-03-02,True,0.003978721122779023,,
43,2020-03-02,True,0.45422526044422307,,
44,2020-03-02,True,0.383589716005003,,
45,2020-03-02,True,0.10984458685215719,,
46,2020-03-02,True,0.3025659579431098,,
47,2020-03-02,True,0.0009438249119048189,,
48,2020-03-02,True,0.14086983156262278,,
49,2020-03-02,True,0.3025659579431098,,
50,2020-03-02,True,0.4177778635554735,,
51,2020-03-02,True,0.3477565851852394,,
52,2020-03-02,True,0.23139884557716592,,
53,2020-03-02,True,6.445631366300797e-16,,
54,2020-03-02,True,0.5516249053667268,,
55,2020-03-02,True,0.39427816323555204,,
56,2020-03-02,True,0.5115810068657339,,
57,2020-03-02,True,0.7602486278630096,,
58,2020-03-02,True,0.001555911703590983,,
59,2020-03-02,True,0.04913361450402347,,
60,2020-03-02,True,0.5469575771425502,,
61,2020-03-02,True,0.2904636055886479,,
62,2020-03-02,True,0.1340847355142617,,
63,2020-03-02,True,0.03945859951703774,,
64,2020-03-02,True,0.2964246412029665,,
65,2020-03-02,True,0.44089289635754775,,
66,2020-03-02,True,0.009195909831555136,,
67,2020-03-02,True,0.0648291224372899,,
68,2020-03-02,True,0.004394474775158833,,
69,2020-03-02,True,0.0758996751853162,,
70,2020-03-02,True,0.268020567903331,,
71,2020-03-02,True,0.4216101346982824,,
72,2020-03-02,True,0.07232497413616053,,
73,2020-03-02,True,0.09969206398526094,,
74,2020-03-02,True,0.001632930634704424,,
75,2020-03-02,True,0.026684518318997853,,
76,2020-03-02,True,0.3480838504093411,,
77,2020-03-02,True,0.5755658429091328,,
78,2020-03-02,True,1.0933924571270279e-11,,
79,2020-03-02,True,0.21993185447441066,,
80,2020-03-02,True,0.028531901355975522,,
81,2020-03-02,True,0.28393935160424294,,
82,2020-03-02,True,3.580662407743189e-05,,
83,2020-03-02,True,0.6330939905949156,,
84,2020-03-02,True,0.4932946378907601,,
85,2020-03-02,True,0.24350885185229693,,
86,2020-03-02,True,0.45293016782528656,,
87,2020-03-02,True,0.47105834854775613,,
88,2020-03-02,True,0.0016819606429161105,,
89,2020-03-02,True,0.4434327422784504,,
90,2020-03-02,True,0.000145557169849594,,
91,2020-03-02,True,0.0023058723006436146,,
92,2020-03-02,True,0.030449363991630698,,
93,2020-03-02,True,0.4565480546457785,,
94,2020-03-02,True,0.0001192042607865929,,
95,2020-03-02,True,0.006036455082796188,,
96,2020-03-02,True,0.26854310807480974,,
97,2020-03-02,True,0.24007159546402457,,
98,2020-03-02,True,0.009429473022206529,,
99,2020-03-02,True,0.6139697383723975,,
