# source_table=/home/mc/projects/Global_Macro_AI_Factors/data/provisional_remediation/canonical_reports_devstartfix_full_20260730T154855Z/tables/tear_sheet_trio_ext2026.parquet sha256=1380f9aa2ed77e7b86154d95407e0b9fbd32d92a52f6b02af450310e780497cf
Section;Metric;Buy-and-hold;AI macro-factor;SJM de-risk
Return vs. risk;CAGR;17,8%;12,8%;11,2%
Return vs. risk;Ann. volatility;13,6%;9,3%;7,9%
Return vs. risk;Sharpe;1,10;1,09;1,08
Return vs. risk;Max drawdown;-17,8%;-11,4%;-8,8%
Return vs. risk;Calmar;0,99;1,12;1,27
Return vs. risk;SSR;0,14;0,13;0,13
